repo,natural_status,gate,override_used,invariant_pass,invariant_failures,error
FreeCAD,COMPLETE,APPROVED,No,PASS,,
LibreCAD,COMPLETE,APPROVED,No,PASS,,
MetPy,COMPLETE,APPROVED,No,PASS,,
OpenMDAO,COMPLETE,APPROVED,No,PASS,,
PyPSA,COMPLETE,APPROVED,No,PASS,,
amaranth,COMPLETE,APPROVED,No,PASS,,
ardupilot,COMPLETE,APPROVED,No,PASS,,
astropy,COMPLETE,APPROVED,No,PASS,,
biopython,COMPLETE,APPROVED,No,PASS,,
ccxt,COMPLETE,APPROVED,No,PASS,,
circuitpython,COMPLETE,APPROVED,No,PASS,,
cocotb,COMPLETE,APPROVED,No,PASS,,
cvxpy,COMPLETE,APPROVED,No,PASS,,
django,COMPLETE,APPROVED,No,PASS,,
drake,COMPLETE,APPROVED,No,PASS,,
dronekit-python,COMPLETE,APPROVED,No,PASS,,
elasticsearch,COMPLETE,APPROVED,No,PASS,,
fastapi,COMPLETE,APPROVED,No,PASS,,
ffmpeg-python,COMPLETE,APPROVED,No,PASS,,
flask,COMPLETE,APPROVED,No,PASS,,
fluids,COMPLETE,APPROVED,No,PASS,,
geopandas,COMPLETE,APPROVED,No,PASS,,
gnuradio,COMPLETE,APPROVED,No,PASS,,
go,COMPLETE,APPROVED,No,PASS,,
gst-python,COMPLETE,APPROVED,No,PASS,,
hl7apy,COMPLETE,APPROVED,No,PASS,,
kivy,COMPLETE,APPROVED,No,PASS,,
kubernetes-python,COMPLETE,APPROVED,No,PASS,,
lasio,COMPLETE,APPROVED,No,PASS,,
librosa,COMPLETE,APPROVED,No,PASS,,
micropython,COMPLETE,APPROVED,No,PASS,,
napalm,COMPLETE,APPROVED,No,PASS,,
netmiko,COMPLETE,APPROVED,No,PASS,,
networkx,COMPLETE,APPROVED,No,PASS,,
nginx,COMPLETE,APPROVED,No,PASS,,
nltk,COMPLETE,APPROVED,No,PASS,,
odoo,COMPLETE,APPROVED,No,PASS,,
opencv-python,COMPLETE,APPROVED,No,PASS,,
pandapower,COMPLETE,APPROVED,No,PASS,,
pennylane,COMPLETE,APPROVED,No,PASS,,
poliastro,COMPLETE,APPROVED,No,PASS,,
pulp,COMPLETE,APPROVED,No,PASS,,
pulumi,COMPLETE,APPROVED,No,PASS,,
pwntools,COMPLETE,APPROVED,No,PASS,,
py-evm,COMPLETE,APPROVED,No,PASS,,
pyNastran,COMPLETE,APPROVED,No,PASS,,
pydicom,COMPLETE,APPROVED,No,PASS,,
pymodbus,COMPLETE,APPROVED,No,PASS,,
pyreservoir,COMPLETE,APPROVED,No,PASS,,
python,REVIEW_REQUIRED,REVIEW_REQUIRED,Yes,PASS,,
python-igraph,COMPLETE,APPROVED,No,PASS,,
python-jenkins,COMPLETE,APPROVED,No,PASS,,
python-sgp4,COMPLETE,APPROVED,No,PASS,,
qiskit,COMPLETE,APPROVED,No,PASS,,
rclpy,COMPLETE,APPROVED,No,PASS,,
react,COMPLETE,APPROVED,No,PASS,,
redis,COMPLETE,APPROVED,No,PASS,,
rust,REVIEW_REQUIRED,REVIEW_REQUIRED,Yes,PASS,,
scapy,COMPLETE,APPROVED,No,PASS,,
shapely,COMPLETE,APPROVED,No,PASS,,
solana-py,COMPLETE,APPROVED,No,PASS,,
spaCy,COMPLETE,APPROVED,No,PASS,,
spring-boot,COMPLETE,APPROVED,No,PASS,,
striplog,REVIEW_REQUIRED,REVIEW_REQUIRED,Yes,PASS,,
toga,COMPLETE,APPROVED,No,PASS,,
u-boot,COMPLETE,APPROVED,No,PASS,,
ui5-webcomponents,COMPLETE,APPROVED,No,PASS,,
ultralytics,COMPLETE,APPROVED,No,PASS,,
vscode,COMPLETE,APPROVED,No,PASS,,
welleng,COMPLETE,APPROVED,No,PASS,,
whisper,COMPLETE,APPROVED,No,PASS,,
xarray,COMPLETE,APPROVED,No,PASS,,
zephyr,COMPLETE,APPROVED,No,PASS,,
zipline,COMPLETE,APPROVED,No,PASS,,
