repo,natural_status,gate,override_used,m1_role,m1_framework,m1_architecture,m1_confidence,m2_language,m2_files_scanned,m3_guesses,language_review_required,ground_truth_role,ground_truth_technology,role_correct,technology_correct,failure_category
FreeCAD,COMPLETE,APPROVED,No,CAD_SYSTEM,Freecad,LIBRARY,0.875,c_cpp,,,No,,,,,
LibreCAD,COMPLETE,APPROVED,No,CAD_SYSTEM,Librecad,UNKNOWN,0.875,c_cpp,,,No,,,,,
MetPy,COMPLETE,APPROVED,No,CLIMATE_SCIENCE,MetPy,LIBRARY,1.0,python,180,0,No,,,,,
OpenMDAO,COMPLETE,APPROVED,No,AEROSPACE_STRUCTURAL_SIMULATION,OpenMDAO,LIBRARY,1.0,python,631,0,No,,,,,
PyPSA,COMPLETE,APPROVED,No,ENERGY_SYSTEM,PyPSA,LIBRARY,1.0,python,170,0,No,,,,,
amaranth,COMPLETE,APPROVED,No,FPGA_HARDWARE,Amaranth HDL,LIBRARY,1.0,python,101,0,No,,,,,
ardupilot,COMPLETE,APPROVED,No,DRONE_UAV,ArduPilot,LIBRARY,1.0,c_cpp,,,No,,,,,
astropy,COMPLETE,APPROVED,No,SPACE_SYSTEM,Astropy,LIBRARY,1.0,python,998,0,No,,,,,
biopython,COMPLETE,APPROVED,No,SCIENTIFIC_COMPUTING,BioPython,LIBRARY,1.0,python,546,0,No,,,,,
ccxt,COMPLETE,APPROVED,No,FINANCE_SYSTEM,CCXT,LIBRARY,1.0,javascript,,,No,,,,,
circuitpython,COMPLETE,APPROVED,No,EMBEDDED_SYSTEM,CircuitPython,LIBRARY,1.0,c_cpp,,,No,,,,,
cocotb,COMPLETE,APPROVED,No,FPGA_HARDWARE,cocotb,LIBRARY,1.0,python,217,0,No,,,,,
cvxpy,COMPLETE,APPROVED,No,OPTIMIZATION_TOOL,CVXPY,LIBRARY,1.0,python,522,0,No,,,,,
django,COMPLETE,APPROVED,No,WEB_APPLICATION,Django,MVC,1.0,python,2920,0,No,,,,,
drake,COMPLETE,APPROVED,No,ROBOTICS_SYSTEM,Drake,MVC,1.0,c_cpp,,,No,,,,,
dronekit-python,COMPLETE,APPROVED,No,DRONE_UAV,DroneKit,LIBRARY,1.0,python,47,0,No,,,,,
elasticsearch,COMPLETE,APPROVED,No,BIOINFORMATICS_SYSTEM,Elasticsearch,UNKNOWN,1.0,java,,,No,,,,,
fastapi,COMPLETE,APPROVED,No,API_SERVICE,FastAPI,MONOLITH,1.0,python,1120,0,No,,,,,
ffmpeg-python,COMPLETE,APPROVED,No,MEDIA_STREAMING,FFmpeg,LIBRARY,1.0,python,21,0,No,,,,,
flask,COMPLETE,APPROVED,No,WEB_APPLICATION,Flask,LIBRARY,1.0,python,83,0,No,,,,,
fluids,COMPLETE,APPROVED,No,FLUIDS_ENGINEERING,Astropy,LIBRARY,1.0,python,108,0,No,,,,,
geopandas,COMPLETE,APPROVED,No,GIS_SYSTEM,GeoPandas,LIBRARY,1.0,python,83,0,No,,,,,
gnuradio,COMPLETE,APPROVED,No,DSP_TOOL,Gnuradio,MONOLITH,0.875,c_cpp,,,No,,,,,
go,COMPLETE,APPROVED,No,COMPILER_TOOLCHAIN,Go,UNKNOWN,0.875,go,11271,,No,,,,,
gst-python,COMPLETE,APPROVED,No,MEDIA_STREAMING,Gst Python,UNKNOWN,0.875,python,68,0,No,,,,,
hl7apy,COMPLETE,APPROVED,No,MEDICAL_SYSTEM,HL7apy,LIBRARY,1.0,python,107,0,No,,,,,
kivy,COMPLETE,APPROVED,No,MOBILE_APPLICATION,Kivy,LIBRARY,1.0,python,514,0,No,,,,,
kubernetes-python,COMPLETE,APPROVED,No,CONTAINER_ORCHESTRATION,Kubernetes,LIBRARY,1.0,python,1873,0,No,,,,,
