repo,category,application_type,primary_framework,total_files,python_files,discovery_score,classification_score,governance_gate
CodeTruthAgent,CODE_GOVERNANCE,CODE_GOVERNANCE,None,495,1,100%,75%,APPROVED
Django,PYTHON_WEB,WEB_APPLICATION,Django,6625,1,100%,100%,APPROVED
Flask,PYTHON_WEB,WEB_APPLICATION,Flask,225,1,100%,100%,APPROVED
FastAPI,PYTHON_WEB,API_SERVICE,FastAPI,2945,1,100%,100%,APPROVED
Transformers,ML_PIPELINE,ML_PIPELINE,Transformers,5988,1,100%,100%,APPROVED
Redis,DATABASE_SYSTEM,DATABASE_SYSTEM,None,1789,1,100%,75%,APPROVED
Nginx,WEB_SERVER,WEB_SERVER,None,517,0,100%,75%,APPROVED
SpringBoot,JAVA_WEB,WEB_APPLICATION,Spring Boot,1118,0,100%,100%,APPROVED
Elasticsearch,DATA_ENGINEERING,DATA_ENGINEERING,Elasticsearch,32983,1,100%,100%,APPROVED
VSCode,FRONTEND,FRONTEND_APPLICATION,React,14937,1,100%,100%,APPROVED
React,FRONTEND,FRONTEND_APPLICATION,React,7191,0,100%,100%,APPROVED
Rust,COMPILER_TOOLCHAIN,COMPILER_TOOLCHAIN,None,58894,1,100%,75%,APPROVED
Go,COMPILER_TOOLCHAIN,COMPILER_TOOLCHAIN,None,14258,1,100%,75%,APPROVED
Odoo,ERP_SYSTEM,ERP_SYSTEM,Odoo,47562,1,100%,100%,APPROVED
SAP_UI5,FRONTEND,FRONTEND_APPLICATION,React,6038,0,100%,100%,APPROVED
FreeCAD,CAD_SYSTEM,CAD_SYSTEM,None,12900,1,100%,75%,APPROVED
LibreCAD,CAD_SYSTEM,CAD_SYSTEM,None,4653,1,100%,75%,APPROVED
OpenMDAO,SIMULATION_TOOL,SIMULATION_TOOL,OpenMDAO,1197,1,100%,100%,APPROVED
pyNastran,SIMULATION_TOOL,SIMULATION_TOOL,pyNastran,2979,1,100%,100%,APPROVED
py-evm,BLOCKCHAIN_NODE,BLOCKCHAIN_NODE,Web3.py,504,1,100%,100%,APPROVED
solana-py,BLOCKCHAIN_NODE,BLOCKCHAIN_NODE,Solana,124,1,100%,100%,APPROVED
pydicom,MEDICAL_SYSTEM,MEDICAL_SYSTEM,PyDICOM,527,1,100%,100%,APPROVED
hl7apy,MEDICAL_SYSTEM,MEDICAL_SYSTEM,HL7apy,163,1,100%,100%,APPROVED
Qiskit,QUANTUM_COMPUTING,QUANTUM_COMPUTING,Qiskit,3898,1,100%,100%,APPROVED
PennyLane,QUANTUM_COMPUTING,QUANTUM_COMPUTING,PennyLane,1935,1,100%,100%,APPROVED
